date,t1,c1,p1,sal,sv
20211003T000131.718Z,9.4627,3.39967,97.317,31.2667,1484.925
20211003T000132.714Z,9.4628,3.39967,97.316,31.2666,1484.926
20211003T000133.798Z,9.463,3.39967,97.317,31.2665,1484.926
20211003T000134.714Z,9.4632,3.39967,97.316,31.2663,1484.927
20211003T000135.746Z,9.4631,3.39967,97.317,31.2664,1484.927
20211003T000136.714Z,9.4631,3.39966,97.316,31.2662,1484.926
20211003T000137.798Z,9.4632,3.39966,97.317,31.2662,1484.927
20211003T000138.714Z,9.463,3.39965,97.317,31.2662,1484.926
20211003T000139.763Z,9.4629,3.39966,97.317,31.2664,1484.926
20211003T000140.714Z,9.463,3.39966,97.316,31.2663,1484.926
20211003T000141.723Z,9.4633,3.39965,97.316,31.266,1484.927
20211003T000142.719Z,9.4634,3.39967,97.317,31.266,1484.927
20211003T000143.729Z,9.4634,3.39967,97.317,31.2661,1484.927
20211003T000144.724Z,9.4633,3.39966,97.317,31.2661,1484.927
20211003T000145.750Z,9.4632,3.39967,97.317,31.2663,1484.927
20211003T000146.716Z,9.463,3.39966,97.316,31.2663,1484.926
20211003T000147.732Z,9.4629,3.39966,97.317,31.2664,1484.926
20211003T000148.715Z,9.4628,3.39966,97.318,31.2665,1484.926
20211003T000149.782Z,9.4629,3.39967,97.316,31.2665,1484.926
20211003T000150.716Z,9.4629,3.39967,97.317,31.2666,1484.926
20211003T000151.768Z,9.463,3.39966,97.316,31.2664,1484.926
20211003T000152.716Z,9.4631,3.39966,97.317,31.2662,1484.927
20211003T000153.717Z,9.4632,3.39966,97.316,31.2662,1484.927
20211003T000154.714Z,9.4633,3.39966,97.316,31.2661,1484.927
20211003T000155.722Z,9.4633,3.39966,97.317,31.2661,1484.927
20211003T000156.714Z,9.4633,3.39967,97.317,31.2662,1484.927
20211003T000157.771Z,9.4633,3.39966,97.316,31.2661,1484.927
20211003T000158.714Z,9.4633,3.39967,97.316,31.2661,1484.927
20211003T000159.774Z,9.4633,3.39966,97.316,31.266,1484.927
20211003T000200.714Z,9.4634,3.39966,97.316,31.2659,1484.927
